BusinessEntityID,EmailAddress,EmailAddressID,Año,Trimestre,Mes,Día,rowguid
1,ken0@adventure-works.com,1,2009,Trim. 1,enero,7,8A1901E4-671B-431A-871C-EADB2942E9EE
2,terri0@adventure-works.com,2,2008,Trim. 1,enero,24,B5FF9EFD-72A2-4F87-830B-F338FDD4D162
3,roberto0@adventure-works.com,3,2007,Trim. 4,noviembre,4,C8A51084-1C03-4C58-A8B3-55854AE7C499
4,rob0@adventure-works.com,4,2007,Trim. 4,noviembre,28,17703ED1-0031-4B4A-AFD2-77487A556B3B
5,gail0@adventure-works.com,5,2007,Trim. 4,diciembre,30,E76D2EA3-08E5-409C-BBE2-5DD1CDF89A3B
6,jossef0@adventure-works.com,6,2013,Trim. 4,diciembre,16,A9C4093A-4F4A-4CAD-BBB4-2C4E920BACCB
7,dylan0@adventure-works.com,7,2009,Trim. 1,febrero,1,70429DE4-C3BF-4F19-A00A-E976C8017FB3
8,diane1@adventure-works.com,8,2008,Trim. 4,diciembre,22,37F02A87-058D-49F8-A20D-965738B0A71F
9,gigi0@adventure-works.com,9,2009,Trim. 1,enero,9,F888A16D-0C33-459E-9D72-D16AE0BB1F43
10,michael6@adventure-works.com,10,2009,Trim. 2,abril,26,E0DD366D-433D-4F5A-9347-1A5FE7FBE0A3
11,ovidiu0@adventure-works.com,11,2010,Trim. 4,noviembre,28,0FF9523D-F398-4237-85F8-2834DE441692
12,thierry0@adventure-works.com,12,2007,Trim. 4,diciembre,4,B2962849-CC5F-4E57-BCB4-019642BBD8ED
13,janice0@adventure-works.com,13,2010,Trim. 4,diciembre,16,64871268-3812-402F-8A91-C618B6515B06
14,michael8@adventure-works.com,14,2010,Trim. 4,diciembre,23,BEA9075C-1BED-4E5E-8234-F5641FAF814C
15,sharon0@adventure-works.com,15,2011,Trim. 1,enero,11,5CD782BA-F5AB-41EC-B206-09B06F52C96B
16,david0@adventure-works.com,16,2007,Trim. 4,diciembre,13,80C0D44A-78B6-42AC-AE8D-410A22A6BE63
17,kevin0@adventure-works.com,17,2007,Trim. 1,enero,19,F4332215-C861-4A54-99F5-B0C4F6406515
18,john5@adventure-works.com,18,2011,Trim. 1,enero,31,A944FC67-F16E-4AB8-8940-8CEFF186BED3
19,mary2@adventure-works.com,19,2011,Trim. 1,febrero,7,626CB0E6-D6A9-4A73-8227-ACB02DBC5214
20,wanida0@adventure-works.com,20,2010,Trim. 4,diciembre,31,924A0FC3-F9E4-4100-8C82-1C69AAE4501F
21,terry0@adventure-works.com,21,2009,Trim. 1,febrero,23,001ADA12-A5D4-44E7-97EF-610888C011C5
22,sariya0@adventure-works.com,22,2008,Trim. 4,diciembre,5,BA309CB3-C089-4BD8-A9CA-AAC0CE2B7BBF
23,mary0@adventure-works.com,23,2009,Trim. 1,enero,5,4E589721-922B-4A26-A138-B9D5A1813EC7
24,jill0@adventure-works.com,24,2009,Trim. 1,enero,11,76C0AD95-1552-4867-A95F-7460EF3F3EEE
25,james1@adventure-works.com,25,2009,Trim. 1,enero,27,2FB4A156-A73C-4FB6-ADEE-D36BC1435C87
26,peter0@adventure-works.com,26,2008,Trim. 4,noviembre,24,2153CB40-E8B1-43C3-9791-6BFF91E75D77
27,jo0@adventure-works.com,27,2008,Trim. 1,febrero,20,98259561-ECCB-4257-9CF3-C4ED5E3356FC
28,guy1@adventure-works.com,28,2006,Trim. 2,junio,23,0D4F335B-6F4C-4612-942A-8BCCAF1BDA8D
29,mark1@adventure-works.com,29,2009,Trim. 1,enero,16,9C9D2AC4-BBFD-47F6-95AA-6DFF49538E08
30,britta0@adventure-works.com,30,2009,Trim. 1,enero,22,1F515A06-5240-4271-AD27-825DFDFA189A
31,margie0@adventure-works.com,31,2008,Trim. 4,diciembre,28,52DCDDF9-B9FD-4A8F-B23C-FC0B6E75380A
32,rebecca0@adventure-works.com,32,2008,Trim. 4,diciembre,22,AFBA85F1-8107-40E5-82DB-98D0678D6F15
33,annik0@adventure-works.com,33,2008,Trim. 4,diciembre,10,9B34B7EE-E461-4F34-ABC9-40CA59E7B8FD
34,suchitra0@adventure-works.com,34,2009,Trim. 1,febrero,9,2A0B297F-6225-4B5A-AD4E-278F023CF864
35,brandon0@adventure-works.com,35,2009,Trim. 1,febrero,1,87B16476-B184-4CB2-9F75-AF0606855B25
36,jose0@adventure-works.com,36,2009,Trim. 1,febrero,3,7CB0078C-CAAA-44BD-B788-0F04DF52AA9F
37,chris2@adventure-works.com,37,2009,Trim. 1,febrero,28,5B3E99AC-A9ED-40D7-A206-E99210C957D0
38,kim1@adventure-works.com,38,2010,Trim. 1,enero,9,9730C7EB-AB57-4785-9D8E-C90C49F3C6DE
39,ed0@adventure-works.com,39,2010,Trim. 1,enero,29,2AA0689B-EB49-4783-B7DA-66B96C569854
40,jolynn0@adventure-works.com,40,2007,Trim. 4,diciembre,19,A7150AC4-A013-4A90-ABDF-084A527CA233
41,bryan0@adventure-works.com,41,2009,Trim. 1,enero,14,CF270087-0505-45FB-975C-1AB089678604
42,james0@adventure-works.com,42,2008,Trim. 4,diciembre,20,C051B91D-2363-4DCA-B09F-305C4F93412E
43,nancy0@adventure-works.com,43,2008,Trim. 4,diciembre,26,52C2CDCF-949E-4B7B-BDE9-159ED85E6654
44,simon0@adventure-works.com,44,2008,Trim. 4,diciembre,1,6AC896ED-318C-4C8B-A5AB-D4E8D036B3E7
45,thomas0@adventure-works.com,45,2009,Trim. 1,febrero,19,B95150F5-E806-44C2-9369-270378FA6B03
46,eugene1@adventure-works.com,46,2009,Trim. 1,febrero,1,1C2AF5C7-56E5-440F-9FB0-1972EC1CCF1F
47,andrew0@adventure-works.com,47,2009,Trim. 1,febrero,15,BC270013-80B6-4067-B60B-4BEEFC2D7739
48,ruth0@adventure-works.com,48,2007,Trim. 4,diciembre,30,3360C26C-7B6E-4B0A-A688-DBEFEB209CDB
49,barry0@adventure-works.com,49,2013,Trim. 4,noviembre,29,324C8DCE-06FA-47B9-B7C7-D35590B9A196
50,sidney0@adventure-works.com,50,2008,Trim. 1,enero,26,953FBA2B-5004-4879-ADB8-C6B08F17FA0C
51,jeffrey0@adventure-works.com,51,2008,Trim. 1,febrero,13,9B83DF43-8B73-46ED-B821-77000D84BEC1
52,doris0@adventure-works.com,52,2014,Trim. 1,enero,31,01DC29C7-BF48-4F15-A5FA-C3EA72EC94F0
53,diane0@adventure-works.com,53,2008,Trim. 1,marzo,21,FAED4878-4CF5-4555-B670-B2B09B6A188A
54,bonnie0@adventure-works.com,54,2009,Trim. 4,diciembre,25,C6AEB77C-8DFE-4776-985C-E34138643612
55,taylor0@adventure-works.com,55,2013,Trim. 4,diciembre,31,F407CF1E-B04D-416D-BC69-1AC6E5C24C99
56,denise0@adventure-works.com,56,2009,Trim. 1,enero,29,58F29B04-00B3-44E1-AC87-9AC960FFDA12
57,frank1@adventure-works.com,57,2009,Trim. 1,febrero,16,4FEF2A65-2DD3-4107-9785-870DE1727EBC
58,kendall0@adventure-works.com,58,2008,Trim. 4,noviembre,28,E370F4B0-B1F5-4595-8DA1-5D88B4948341
59,bob0@adventure-works.com,59,2008,Trim. 4,diciembre,17,2CC9EE3A-8C99-49E1-9033-F850CF668EFA
60,pete0@adventure-works.com,60,2009,Trim. 1,enero,4,55E3E46B-7205-4C7E-882E-63AA895310CC
61,diane2@adventure-works.com,61,2009,Trim. 1,enero,11,B3B18577-A565-47C6-B149-CD2AAE6BD3F0
62,john0@adventure-works.com,62,2014,Trim. 1,febrero,7,0F968A24-5E70-4A47-9961-091E31A57849
63,maciej0@adventure-works.com,63,2010,Trim. 1,enero,22,EB76A53A-8095-4A99-89D6-03923CA6EA0E
64,michael7@adventure-works.com,64,2010,Trim. 1,febrero,16,77E65F84-6EE8-420A-B072-E13D87C85A45
65,randy0@adventure-works.com,65,2010,Trim. 1,febrero,16,B174F86B-CBA7-4B5D-AA83-8A075EE1FDB4
66,karan0@adventure-works.com,66,2009,Trim. 4,diciembre,15,13A1D31A-8C76-419E-81D5-0B479A2F3AD9
67,jay0@adventure-works.com,67,2009,Trim. 1,febrero,26,47E5526E-FE7F-4D11-AED7-14AB5307B97F
68,charles0@adventure-works.com,68,2009,Trim. 4,noviembre,26,D40BFDBF-6D54-4F67-ACA8-055E8498B995
69,steve0@adventure-works.com,69,2009,Trim. 1,febrero,8,BC1283A1-A7FC-4DB2-8344-7F15C000F63F
70,david2@adventure-works.com,70,2008,Trim. 4,diciembre,8,D62C5B4E-C91F-403F-B630-7B7E0FDA70CE
71,michael3@adventure-works.com,71,2009,Trim. 1,febrero,8,3F21EB3B-81AB-46F3-AAE2-A8D5C5EB6A6D
72,steven0@adventure-works.com,72,2008,Trim. 4,noviembre,24,9D1C4B98-72B0-4E17-8214-2CD2C72F86E9
73,carole0@adventure-works.com,73,2008,Trim. 4,diciembre,12,703CD060-E4FF-42F4-8F82-41131CCB346E
74,bjorn0@adventure-works.com,74,2008,Trim. 4,diciembre,31,7ED83953-FA8E-497A-98D6-6B3684BEC822
75,michiko0@adventure-works.com,75,2009,Trim. 1,enero,19,0798AD10-1E34-405A-A440-615634B76E24
76,carol0@adventure-works.com,76,2009,Trim. 1,febrero,5,140A9C46-2A64-43FC-ACF2-A76ED2805266
77,merav0@adventure-works.com,77,2009,Trim. 1,febrero,24,0A4F7C43-3FED-43FE-947C-69E9FCB0629A
78,reuben0@adventure-works.com,78,2008,Trim. 4,diciembre,8,D0FC506C-3332-4486-A6B7-4FD20E21245F
79,eric1@adventure-works.com,79,2010,Trim. 1,enero,17,DC243863-A00C-448C-B90F-509DFBE76F12
80,sandeep0@adventure-works.com,80,2010,Trim. 1,enero,10,C7ADB778-4A93-493D-ADAD-FAAF3967A5BA
81,mihail0@adventure-works.com,81,2009,Trim. 4,diciembre,22,E07A7278-4697-4B4A-A9E0-CAC2583143DE
82,jack1@adventure-works.com,82,2010,Trim. 1,febrero,24,5AE3538E-A9A4-49C9-8488-2314F289B6CB
83,patrick1@adventure-works.com,83,2010,Trim. 1,febrero,5,621D39FE-5EEA-4840-8131-31375E061E94
84,frank3@adventure-works.com,84,2010,Trim. 1,enero,29,A53C239F-BC9F-447F-A719-59B59A6F482A
85,brian2@adventure-works.com,85,2009,Trim. 4,diciembre,4,78586E93-83A6-44BB-8F5D-4187F702C040
86,ryan0@adventure-works.com,86,2008,Trim. 4,diciembre,29,B8A67E8B-15D5-4A9F-8C27-30D86779CEC1
87,cristian0@adventure-works.com,87,2008,Trim. 4,diciembre,15,2FFF23E9-73FE-48F0-A7ED-168F48B4941F
88,betsy0@adventure-works.com,88,2009,Trim. 4,diciembre,11,079E435B-5A3A-43A0-B598-9D0D21D8FA4F
89,patrick0@adventure-works.com,89,2010,Trim. 1,enero,25,77B0ABC5-529E-4ABD-89E3-28CBB8761741
90,danielle0@adventure-works.com,90,2010,Trim. 1,febrero,13,3B8219C2-8893-4881-AA3C-4D0A752FC4EA
91,kimberly0@adventure-works.com,91,2010,Trim. 1,enero,5,23275F93-2E6C-487F-9FC1-617F8239D050
92,tom0@adventure-works.com,92,2010,Trim. 1,marzo,3,E093B00C-F87F-4B93-AF2F-ECD6C9F63B85
93,kok-ho0@adventure-works.com,93,2008,Trim. 4,diciembre,20,4232D44C-B42C-498E-840F-F2AE44B50F16
94,russell0@adventure-works.com,94,2008,Trim. 4,diciembre,5,2D083A33-FEDE-4472-9C96-5766E9783351
95,jim0@adventure-works.com,95,2008,Trim. 4,diciembre,12,933B5FE3-CC08-48FF-AB0F-A812FC642D0B
96,elizabeth0@adventure-works.com,96,2009,Trim. 1,febrero,23,DE385467-19F1-41B1-9165-E05E462FBC80
97,mandar0@adventure-works.com,97,2009,Trim. 1,febrero,3,1A9E785F-EBCF-454D-B249-2A88F858A2D0
98,sameer0@adventure-works.com,98,2009,Trim. 1,febrero,4,DFCC751C-451C-4498-819B-A4692527B0A2
99,nuan0@adventure-works.com,99,2008,Trim. 4,diciembre,30,12A30695-A604-4312-B65E-19A67FB3FB73
100,lolan0@adventure-works.com,100,2009,Trim. 1,enero,5,4EBF0B6C-141E-4725-B6E7-04D4FB305B80
101,houman0@adventure-works.com,101,2009,Trim. 1,enero,18,B1A38954-E8C1-4009-A632-EE02DA1FD9D8
102,zheng0@adventure-works.com,102,2008,Trim. 4,noviembre,26,0766060D-CA79-45DB-B892-668A2A924B7F
103,ebru0@adventure-works.com,103,2009,Trim. 4,noviembre,29,A27D2032-F216-493F-923C-A2BC4B5AD190
104,mary1@adventure-works.com,104,2009,Trim. 4,diciembre,18,AD6C9CAB-1428-4345-ADD4-30DD879AFB89
105,kevin2@adventure-works.com,105,2009,Trim. 4,diciembre,18,F5C6BB98-0D1D-4ADD-9C0C-04B37D28468D
106,john4@adventure-works.com,106,2010,Trim. 1,febrero,20,BC4640E4-0360-49B8-9EC0-ACA2DFB76D84
107,christopher0@adventure-works.com,107,2010,Trim. 1,febrero,1,D4773AEF-A889-420D-B9F7-6167B7223CFC
108,jinghao0@adventure-works.com,108,2008,Trim. 4,diciembre,1,C4861DC0-3A60-4C72-B622-4840663167A5
109,alice0@adventure-works.com,109,2008,Trim. 4,noviembre,30,8C45D022-A69E-49C9-BA7B-E4B2567E7031
110,jun0@adventure-works.com,110,2008,Trim. 4,diciembre,7,D5CC5BE1-4C69-4576-8AF7-D892816BD66A
111,suroor0@adventure-works.com,111,2008,Trim. 4,diciembre,10,85B62BFF-C5D6-4E4B-A634-0C1C61F08943
