BusinessEntityID,Año,Trimestre,Mes,Día,PhoneNumber,PhoneNumberTypeID
1,2009,Trim. 1,enero,7,697-555-0142,1
2,2008,Trim. 1,enero,24,819-555-0175,3
3,2007,Trim. 4,noviembre,4,212-555-0187,1
4,2007,Trim. 4,noviembre,28,612-555-0100,1
5,2007,Trim. 4,diciembre,30,849-555-0139,1
6,2013,Trim. 4,diciembre,16,122-555-0189,3
7,2009,Trim. 1,febrero,1,181-555-0156,3
8,2008,Trim. 4,diciembre,22,815-555-0138,1
9,2009,Trim. 1,enero,9,185-555-0186,1
10,2009,Trim. 2,abril,26,330-555-2568,3
11,2010,Trim. 4,noviembre,28,719-555-0181,1
12,2007,Trim. 4,diciembre,4,168-555-0183,3
13,2010,Trim. 4,diciembre,16,473-555-0117,3
14,2010,Trim. 4,diciembre,23,465-555-0156,1
15,2011,Trim. 1,enero,11,970-555-0138,1
16,2007,Trim. 4,diciembre,13,913-555-0172,3
17,2007,Trim. 1,enero,19,150-555-0189,1
18,2011,Trim. 1,enero,31,486-555-0150,3
19,2011,Trim. 1,febrero,7,124-555-0114,1
20,2010,Trim. 4,diciembre,31,708-555-0141,3
21,2009,Trim. 1,febrero,23,138-555-0118,1
22,2008,Trim. 4,diciembre,5,399-555-0176,3
23,2009,Trim. 1,enero,5,531-555-0183,3
24,2009,Trim. 1,enero,11,510-555-0121,3
25,2009,Trim. 1,enero,27,870-555-0122,3
26,2008,Trim. 4,noviembre,24,913-555-0196,3
27,2008,Trim. 1,febrero,20,632-555-0129,1
28,2006,Trim. 2,junio,23,320-555-0195,3
29,2009,Trim. 1,enero,16,417-555-0154,3
30,2009,Trim. 1,enero,22,955-555-0169,1
31,2008,Trim. 4,diciembre,28,818-555-0128,1
32,2008,Trim. 4,diciembre,22,314-555-0113,1
33,2008,Trim. 4,diciembre,10,499-555-0125,3
34,2009,Trim. 1,febrero,9,753-555-0129,1
35,2009,Trim. 1,febrero,1,429-555-0137,1
36,2009,Trim. 1,febrero,3,587-555-0115,1
37,2009,Trim. 1,febrero,28,315-555-0144,1
38,2010,Trim. 1,enero,9,208-555-0114,1
39,2010,Trim. 1,enero,29,919-555-0140,3
40,2007,Trim. 4,diciembre,19,903-555-0145,3
41,2009,Trim. 1,enero,14,712-555-0113,1
42,2008,Trim. 4,diciembre,20,119-555-0117,1
43,2008,Trim. 4,diciembre,26,970-555-0118,1
44,2008,Trim. 4,diciembre,1,963-555-0134,3
